ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
State,Other causes,Structure,0-25,Flat,0-500,023N,004W,9,Seward,brush grass spruce,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0-500,003S,008E,3,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,010N,016E,8,Kateel River,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,001N,013E,5,Kateel River,,N,,Natural
Private,Debris and open burning,Burn Barrel,0-25,Flat,0-500,005N,008W,7,Seward,"Moss, Grass, Sticks",N,,Human
ANCSA,Debris and open burning,Open trash burning,0-25,Flat,0501-1500,023N,076W,29,Seward,,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0-500,008N,008E,26,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0501-1500,011N,004E,27,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,1501-2500,030N,005W,30,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,007S,013E,21,Fairbanks,,Y,,Undetermined
ANCSA,Undetermined,Undetermined,0-25,Flat,1501-2500,017N,016E,22,Copper River,,Y,,Undetermined
ANCSA,Natural,Lightning,0-25,Flat,0-500,017N,010E,2,Fairbanks,,N,,Natural
DOD,Natural,Lightning,0-25,Flat,0501-1500,009S,007E,18,Fairbanks,,N,,Natural
Private,Debris and open burning,Open trash burning,0-25,Flat,0-500,017N,001E,8,Seward,,N,,Human
State,Natural,Lightning,0-25,East,1501-2500,007S,012E,14,Fairbanks,SPRUCE,N,,Natural
BLM,Natural,Lightning,0-25,Flat,1501-2500,002N,023E,7,Kateel River,,N,,Natural
Private,Debris and open burning,Open trash burning,0-25,Flat,0-500,002N,011W,6,Seward,Grass,N,,Human
State,Natural,Lightning,0-25,South East,1501-2500,005S,014E,22,Fairbanks,Hardwoods,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0501-1500,013N,001E,21,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,South,1501-2500,008N,032E,9,Fairbanks,,N,,Natural
State,Misuse of fire by a minor,Lighter/matches,0-25,Flat,0-500,017N,002E,18,Seward,Mixed Hardwoods,N,,Human
NPS,Natural,Lightning,0-25,South East,1501-2500,020N,021E,13,Kateel River,,N,,Natural
NPS,Railroad operations and maintenance,Unknown,0-25,Flat,1501-2500,013S,007W,28,Fairbanks,,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,001N,030E,18,Fairbanks,,N,,Natural
DOD,Natural,Lightning,0-25,Flat,1501-2500,003S,007E,2,Fairbanks,,N,,Natural
County,Equipment and vehicle use,OHV/ATV/motorcycle,0-25,Flat,0-500,016N,004W,2,Seward,"Grass, Brsh, Hrd Wds",N,,Human
USFWS,Natural,Lightning,0-25,Flat,0-500,004N,008E,23,Kateel River,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0501-1500,001S,017W,28,Fairbanks,,N,,Natural
State,Debris and open burning,Other,0-25,Flat,0-500,002N,011W,20,Seward,Black Spruce,N,,Human
State,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,0-500,023N,004W,9,Seward,,N,,Human
USFWS,Natural,Lightning,0-25,Flat,1501-2500,024N,030E,18,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,007N,004W,27,Fairbanks,,N,,Natural
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,005N,010W,34,Seward,Grass,N,,Human
State,Natural,Lightning,0-25,Flat,1501-2500,030N,005W,7,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,006N,004W,19,Fairbanks,,N,,Natural
 ,,,,,,,,,,,N,,Undetermined
State,Natural,Lightning,0-25,West,0501-1500,002N,002E,36,Fairbanks,"spruce, hardwoods",N,,Natural
Private,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,0-500,001S,001E,27,Fairbanks,Willow ,N,,Human
USFWS,Natural,Lightning,26-40,South,0501-1500,016N,017W,16,Fairbanks,,N,,Natural
State,Recreation and ceremony,Bonfire/party fire,0-25,Flat,0501-1500,015N,002E,8,Seward,Duff,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,024N,021W,25,Fairbanks,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0501-1500,023N,021W,2,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0501-1500,012N,018W,16,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,001S,008W,35,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
Private,Debris and open burning,Yard debris,0-25,Flat,0-500,006N,011W,36,Seward,Lumber and Slash,N,,Human
State,Equipment and vehicle use,Unknown,0-25,Flat,0-500,005N,011W,22,Seward,Grass,N,,Human
State,Undetermined,Under investigation,0-25,Flat,0-500,005N,011W,22,Seward,Grass,N,,Human
State,Natural,Lightning,0-25,South East,1501-2500,012S,011W,6,Fairbanks,Black Spruce,N,,Natural
State,Natural,Lightning,0-25,South West,2501-3500,002S,013E,32,Fairbanks,BLACK SPRUCE,N,,Natural
Private,,,0-25,Flat,0501-1500,007N,003W,29,Fairbanks,,Y,N,Undetermined
ANCSA,Natural,Lightning,0-25,Flat,2501-3500,019N,016E,15,Copper River,BLACK SPRUCE,N,,Natural
USFWS,Undetermined,Undetermined,0-25,Flat,1501-2500,007S,010W,11,Seward,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,003S,006W,10,Fairbanks,,N,,Natural
NPS,Undetermined,Undetermined,26-40,North West,4501-5500,016S,010W,23,Fairbanks,,Y,,Undetermined
USFWS,Natural,Lightning,0-25,Flat,0-500,010N,002E,22,Kateel River,,N,,Natural
USFWS,Undetermined,Undetermined,0-25,Flat,0-500,010N,002E,8,Kateel River,,Y,,Undetermined
USFWS,Natural,Lightning,0-25,Flat,0-500,010N,002E,8,Kateel River,,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,1501-2500,019N,010E,31,Copper River,,Y,,Undetermined
ANCSA,,,0-25,Flat,0-500,023S,019W,2,Kateel River,,N,,Human
NPS,Undetermined,Undetermined,0-25,Flat,3501-4500,004S,022E,25,Fairbanks,,Y,,Undetermined
Private,Debris and open burning,Field/agricultural burning,0-25,Flat,0501-1500,009S,010E,15,Fairbanks,"duff, grass",N,,Human
BLM,Other causes,Structure,0-25,Flat,0501-1500,027S,012E,25,Kateel River,,N,,Human
ANCSA,Natural,Lightning,0-25,Flat,1501-2500,019N,010E,1,Copper River,BLK SPRUCE,N,,Natural
NPS,Natural,Lightning,0-25,South West,1501-2500,012S,013W,14,Fairbanks,black spruce/tundra,N,,Natural
State,Natural,Lightning,0-25,Flat,1501-2500,008S,002W,29,Fairbanks,SPRUCE/ MXD HRDWD,N,,Natural
County,Undetermined,Origin and/or cause not identified,0-25,Flat,0-500,001S,001W,27,Fairbanks,GRASS,N,,Human
ANCSA,Debris and open burning,Open trash burning,0-25,Flat,0-500,021N,070W,27,Seward,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0501-1500,006S,011E,27,Fairbanks,,Y,,Undetermined
USFWS,Natural,Lightning,0-25,Flat,0-500,023N,006E,34,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,005N,005W,29,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,2501-3500,022N,015E,11,Copper River,BS/mixed HW,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,016N,008E,12,Kateel River,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0501-1500,014N,005E,10,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,North East,0501-1500,021N,052W,11,Seward,"Black Spruce, tundra",N,,Natural
ANCSA,Natural,Lightning,0-25,South East,2501-3500,005S,030E,34,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,033N,024W,7,Seward,Timber,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,003S,006W,10,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
BLM,Natural,Lightning,0-25,West,1501-2500,008N,007E,12,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,016N,003E,1,Seward,spruce and hardwoods,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,1501-2500,019N,011E,32,Copper River,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0-500,015N,042W,36,Seward,Tundra,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0501-1500,011N,018E,18,Fairbanks,,N,,Natural
ANCSA,Debris and open burning,Unknown,0-25,Flat,0-500,005S,074W,28,Seward,Tundra,N,,Human
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,East,0501-1500,001S,002W,15,Fairbanks,Black Spruce,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,033N,024W,30,Seward,Tundra,N,,Natural
ANCSA,Natural,Lightning,0-25,North East,2501-3500,002S,032E,7,Fairbanks,,N,,Natural
NPS,Natural,Lightning,0-25,Flat,1501-2500,022S,025W,12,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,East,0501-1500,006N,003W,25,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,009N,014E,30,Fairbanks,,N,,Natural
County,Debris and open burning,Other,0-25,Flat,0-500,038S,064E,6,Copper River,Grass/Duff,N,,Human
USFS,Recreation and ceremony,Campfire,0-25,South West,0501-1500,004N,001E,28,Seward,Duff/grass,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,033N,002W,34,Seward,Black Spruce,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,004N,005W,6,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,005N,005W,35,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,003N,005W,13,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,North East,1501-2500,004N,003W,34,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,003N,003W,25,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,019N,039W,17,Seward,Timber,N,,Natural
State,Natural,Lightning,0-25,Flat,1501-2500,005N,004W,28,Copper River,Black Spruce,N,,Natural
NPS,Other causes,Structure,0-25,Flat,0501-1500,006N,022E,35,Fairbanks,,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,002S,004W,21,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,011S,020E,19,Kateel River,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,011S,016E,6,Kateel River,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,006S,015W,17,Fairbanks,,N,,Natural
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,006S,013W,20,Seward,driftwood,N,,Human
State,Natural,Lightning,0-25,Flat,0-500,019N,005W,10,Seward,Black Spruce,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,019N,004W,8,Seward,Mixed Hardwoods,N,,Natural
ANCSA,Undetermined,Origin and/or cause not identified,0-25,Flat,0501-1500,002S,013W,15,Seward,Grass,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0-500,005N,007W,11,Seward,Black Spruce,N,,Natural
BLM,Undetermined,Undetermined,0-25,Flat,0-500,009S,040W,33,Seward,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,008S,007E,7,Fairbanks,SPRUCE/HARDWOODS,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,016N,007E,18,Kateel River,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,007N,008E,32,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,015N,005E,14,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,015N,005E,11,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,015N,005E,15,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,016N,005E,4,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,016N,005E,16,Kateel River,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,016N,007E,8,Kateel River,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,016N,007E,7,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0501-1500,013N,010E,1,Kateel River,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,018N,003W,24,Seward,Mxd Hrdwoods,N,,Natural
BLM,Natural,Lightning,0-25,East,1501-2500,022S,024E,26,Kateel River,"Spruce, grass",N,,Natural
BLM,Undetermined,Undetermined,0-25,Flat,0-500,016N,008E,12,Kateel River,,Y,,Undetermined
USFWS,Undetermined,Undetermined,0-25,Flat,0-500,006N,008E,30,Kateel River,,Y,,Undetermined
ANCSA,Undetermined,Undetermined,0-25,Flat,0-500,018N,007E,12,Kateel River,,Y,,Undetermined
USFWS,Natural,Lightning,0-25,Flat,0-500,017N,004W,7,Kateel River,,N,,Natural
Private,Debris and open burning,Burn Barrel,0-25,Flat,0-500,017N,003W,17,Seward,Mixed Hardwoods,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,013S,025W,21,Fairbanks,,N,,Natural
USFWS,Natural,Lightning,0-25,West,1501-2500,002S,017E,17,Kateel River,,N,,Natural
County,Recreation and ceremony,Campfire,0-25,Flat,0-500,038S,064E,7,Copper River,Hemlock and Spruce,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,031N,038W,34,Seward,"Black Spruce, tundra",N,,Natural
Private,Other causes,Structure,0-25,Flat,0-500,006S,013W,20,Seward,Grass,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,005N,010W,7,Seward,"Grass, shrubs",N,,Human
State,Natural,Lightning,0-25,South East,0501-1500,033N,039W,15,Seward,Continuous,N,,Natural
DOD,Natural,Lightning,0-25,Flat,0501-1500,004S,001E,16,Fairbanks,,N,,Natural
DOD,Natural,Lightning,0-25,Flat,0501-1500,004S,001E,17,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,1501-2500,019N,010E,31,Copper River,Mxd hrdwd / blk sprc,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,002N,003W,10,Fairbanks,Black Spruce,N,,Natural
ANCSA,Natural,Lightning,0-25,South East,0501-1500,020N,044W,8,Seward,"Hardwood, spruce",N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,010S,013E,2,Kateel River,,N,,Natural
NPS,Natural,Lightning,0-25,Flat,1501-2500,019S,022W,20,Fairbanks,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,008N,011E,35,Kateel River,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0501-1500,016N,006W,8,Kateel River,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,008S,010E,33,Fairbanks,SPRUCE/ MXD HRDWD,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,004S,015W,30,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,1501-2500,006N,009W,27,Fairbanks,,N,,Natural
